team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date
chicago-blackhawks,st-louis-blues,Laurent Brossoit,Injured Reserve 1,ir1,Injured Reserve,ir,39.0,ir,False,
chicago-blackhawks,st-louis-blues,Nick Foligno,Injured Reserve 4,ir4,Injured Reserve,ir,17.0,ir,False,
seattle-kraken,utah-hockey-club,Jaden Schwartz,Injured Reserve 1,ir1,Injured Reserve,ir,17.0,ir,False,
seattle-kraken,utah-hockey-club,Matt Murray,Injured Reserve 2,ir2,Injured Reserve,ir,30.0,ir,False,
seattle-kraken,utah-hockey-club,Berkly Catton,Injured Reserve 3,ir3,Injured Reserve,ir,77.0,out,False,
seattle-kraken,utah-hockey-club,Jared McCann,Injured Reserve 4,ir4,Injured Reserve,ir,19.0,dtd,False,
st-louis-blues,chicago-blackhawks,Torey Krug,Injured Reserve 1,ir1,Injured Reserve,ir,47.0,ir,False,
st-louis-blues,chicago-blackhawks,Alexey Toropchenko,Injured Reserve 2,ir2,Injured Reserve,ir,13.0,out,False,
st-louis-blues,chicago-blackhawks,Jimmy Snuggerud,Injured Reserve 3,ir3,Injured Reserve,ir,21.0,out,False,
st-louis-blues,chicago-blackhawks,Jordan Kyrou,Injured Reserve 4,ir4,Injured Reserve,ir,25.0,ir,False,
st-louis-blues,chicago-blackhawks,Nick Bjugstad,Injured Reserve 5,ir5,Injured Reserve,ir,77.0,dtd,False,
utah-hockey-club,seattle-kraken,Alex Kerfoot,Injured Reserve 1,ir1,Injured Reserve,ir,15.0,ir,False,
utah-hockey-club,seattle-kraken,Juuso Valimaki,Injured Reserve 2,ir2,Injured Reserve,ir,4.0,ir,False,
utah-hockey-club,seattle-kraken,Olli Maatta,Injured Reserve 3,ir3,Injured Reserve,ir,2.0,ir,False,
utah-hockey-club,seattle-kraken,Logan Cooley,Injured Reserve 4,ir4,Injured Reserve,ir,92.0,out,False,
chicago-blackhawks,st-louis-blues,Laurent Brossoit,Injured Reserve 1,ir1,Injured Reserve,ir,39.0,ir,False,2025-12-12
chicago-blackhawks,st-louis-blues,Nick Foligno,Injured Reserve 2,ir2,Injured Reserve,ir,17.0,ir,False,2025-12-12
seattle-kraken,utah-hockey-club,Jaden Schwartz,Injured Reserve 1,ir1,Injured Reserve,ir,17.0,ir,False,2025-12-12
seattle-kraken,utah-hockey-club,Matt Murray,Injured Reserve 2,ir2,Injured Reserve,ir,30.0,ir,False,2025-12-12
seattle-kraken,utah-hockey-club,Berkly Catton,Injured Reserve 3,ir3,Injured Reserve,ir,77.0,out,False,2025-12-12
seattle-kraken,utah-hockey-club,Jared McCann,Injured Reserve 4,ir4,Injured Reserve,ir,19.0,out,False,2025-12-12
st-louis-blues,chicago-blackhawks,Torey Krug,Injured Reserve 1,ir1,Injured Reserve,ir,47.0,ir,False,2025-12-12
st-louis-blues,chicago-blackhawks,Alexey Toropchenko,Injured Reserve 2,ir2,Injured Reserve,ir,13.0,out,False,2025-12-12
st-louis-blues,chicago-blackhawks,Jimmy Snuggerud,Injured Reserve 3,ir3,Injured Reserve,ir,21.0,out,False,2025-12-12
st-louis-blues,chicago-blackhawks,Jordan Kyrou,Injured Reserve 4,ir4,Injured Reserve,ir,25.0,ir,False,2025-12-12
st-louis-blues,chicago-blackhawks,Nick Bjugstad,Injured Reserve 5,ir5,Injured Reserve,ir,77.0,dtd,False,2025-12-12
utah-hockey-club,seattle-kraken,Alex Kerfoot,Injured Reserve 1,ir1,Injured Reserve,ir,15.0,ir,False,2025-12-12
utah-hockey-club,seattle-kraken,Juuso Valimaki,Injured Reserve 2,ir2,Injured Reserve,ir,4.0,ir,False,2025-12-12
utah-hockey-club,seattle-kraken,Logan Cooley,Injured Reserve 3,ir3,Injured Reserve,ir,92.0,out,False,2025-12-12
anaheim-ducks,new-jersey-devils,Petr Mrazek,Injured Reserve 1,ir1,Injured Reserve,ir,34.0,ir,False,2025-12-13
calgary-flames,los-angeles-kings,Martin Pospisil,Injured Reserve 1,ir1,Injured Reserve,ir,76.0,ir,False,2025-12-13
calgary-flames,los-angeles-kings,Zayne Parekh,Injured Reserve 2,ir2,Injured Reserve,ir,89.0,ir,False,2025-12-13
calgary-flames,los-angeles-kings,Samuel Honzek,Injured Reserve 3,ir3,Injured Reserve,ir,29.0,ir,False,2025-12-13
calgary-flames,los-angeles-kings,Jake Bean,Injured Reserve 4,ir4,Injured Reserve,ir,24.0,ir,False,2025-12-13
carolina-hurricanes,philadelphia-flyers,Jaccob Slavin,Injured Reserve 1,ir1,Injured Reserve,ir,74.0,ir,False,2025-12-13
carolina-hurricanes,philadelphia-flyers,Charles-Alexis Legault,Injured Reserve 2,ir2,Injured Reserve,ir,62.0,out,False,2025-12-13
chicago-blackhawks,detroit-red-wings,Laurent Brossoit,Injured Reserve 1,ir1,Injured Reserve,ir,39.0,ir,False,2025-12-13
chicago-blackhawks,detroit-red-wings,Nick Foligno,Injured Reserve 2,ir2,Injured Reserve,ir,17.0,ir,False,2025-12-13
chicago-blackhawks,detroit-red-wings,Connor Bedard,Injured Reserve 3,ir3,Injured Reserve,ir,98.0,out,False,2025-12-13
colorado-avalanche,nashville-predators,Logan O'Connor,Injured Reserve 1,ir1,Injured Reserve,ir,25.0,ir,False,2025-12-13
colorado-avalanche,nashville-predators,Scott Wedgewood,Injured Reserve 3,ir3,Injured Reserve,ir,41.0,dtd,False,2025-12-13
columbus-blue-jackets,vegas-golden-knights,Erik Gudbranson,Injured Reserve 1,ir1,Injured Reserve,ir,44.0,ir,False,2025-12-13
columbus-blue-jackets,vegas-golden-knights,Mathieu Olivier,Injured Reserve 2,ir2,Injured Reserve,ir,24.0,ir,False,2025-12-13
dallas-stars,florida-panthers,Lian Bichsel,Injured Reserve 1,ir1,Injured Reserve,ir,6.0,out,False,2025-12-13
dallas-stars,florida-panthers,Tyler Seguin,Injured Reserve 3,ir3,Injured Reserve,ir,91.0,out,False,2025-12-13
dallas-stars,florida-panthers,Nils Lundkvist,Injured Reserve 4,ir4,Injured Reserve,ir,5.0,out,False,2025-12-13
detroit-red-wings,chicago-blackhawks,Mason Appleton,Injured Reserve 1,ir1,Injured Reserve,ir,22.0,ir,False,2025-12-13
edmonton-oilers,toronto-maple-leafs,Jake Walman,Injured Reserve 1,ir1,Injured Reserve,ir,96.0,ir,False,2025-12-13
edmonton-oilers,toronto-maple-leafs,Kasperi Kapanen,Injured Reserve 2,ir2,Injured Reserve,ir,42.0,ir,False,2025-12-13
edmonton-oilers,toronto-maple-leafs,Connor Clattenburg,Injured Reserve 3,ir3,Injured Reserve,ir,64.0,ir,False,2025-12-13
edmonton-oilers,toronto-maple-leafs,Jack Roslovic,Injured Reserve 4,ir4,Injured Reserve,ir,28.0,ir,False,2025-12-13
florida-panthers,dallas-stars,Matthew Tkachuk,Injured Reserve 1,ir1,Injured Reserve,ir,19.0,ir,False,2025-12-13
florida-panthers,dallas-stars,Aleksander Barkov,Injured Reserve 2,ir2,Injured Reserve,ir,16.0,ir,False,2025-12-13
florida-panthers,dallas-stars,Dmitry Kulikov,Injured Reserve 3,ir3,Injured Reserve,ir,7.0,ir,False,2025-12-13
florida-panthers,dallas-stars,Jonah Gadjovich,Injured Reserve 4,ir4,Injured Reserve,ir,12.0,ir,False,2025-12-13
florida-panthers,dallas-stars,Tomas Nosek,Injured Reserve 5,ir5,Injured Reserve,ir,92.0,out,False,2025-12-13
florida-panthers,dallas-stars,Cole Schwindt,Injured Reserve 6,ir6,Injured Reserve,ir,79.0,out,False,2025-12-13
los-angeles-kings,calgary-flames,Phillip Danault,Injured Reserve 1,ir1,Injured Reserve,ir,24.0,out,False,2025-12-13
minnesota-wild,ottawa-senators,Marcus Foligno,Injured Reserve 1,ir1,Injured Reserve,ir,17.0,ir,False,2025-12-13
minnesota-wild,ottawa-senators,Vinnie Hinostroza,Injured Reserve 3,ir3,Injured Reserve,ir,18.0,ir,False,2025-12-13
minnesota-wild,ottawa-senators,Tyler Pitlick,Injured Reserve 4,ir4,Injured Reserve,ir,19.0,out,False,2025-12-13
