game_id,game_date,team_abbrev,home_away,shots_for,shots_against,goals_for,goals_against
2023020001,2023-10-10,TBL,home,34,31,5,3
2023020001,2023-10-10,NSH,away,31,34,3,5
2023020002,2023-10-10,PIT,home,41,36,2,4
2023020002,2023-10-10,CHI,away,36,41,4,2
2023020003,2023-10-10,VGK,home,28,33,4,1
2023020003,2023-10-10,SEA,away,33,28,1,4
2023020004,2023-10-11,CAR,home,42,30,5,3
2023020004,2023-10-11,OTT,away,30,42,3,5
2023020005,2023-10-11,TOR,home,42,24,6,5
2023020005,2023-10-11,MTL,away,24,42,5,6
2023020006,2023-10-11,BOS,home,33,21,3,1
2023020006,2023-10-11,CHI,away,21,33,1,3
2023020007,2023-10-11,CGY,home,22,37,5,3
2023020007,2023-10-11,WPG,away,37,22,3,5
2023020008,2023-10-11,LAK,home,36,37,2,5
2023020008,2023-10-11,COL,away,37,36,5,2
2023020009,2023-10-11,VAN,home,32,27,8,1
2023020009,2023-10-11,EDM,away,27,32,1,8
2023020010,2023-10-12,BUF,home,25,31,1,5
2023020010,2023-10-12,NYR,away,31,25,5,1
2023020011,2023-10-12,CBJ,home,33,37,2,4
2023020011,2023-10-12,PHI,away,37,33,4,2
2023020012,2023-10-12,NJD,home,27,35,4,3
2023020012,2023-10-12,DET,away,35,27,3,4
2023020013,2023-10-12,DAL,home,34,24,2,1
2023020013,2023-10-12,STL,away,24,34,1,2
2023020014,2023-10-12,MIN,home,21,41,2,0
2023020014,2023-10-12,FLA,away,41,21,0,2
2023020015,2023-10-12,NSH,home,35,23,3,0
2023020015,2023-10-12,SEA,away,23,35,0,3
2023020016,2023-10-12,SJS,home,23,32,1,4
2023020016,2023-10-12,VGK,away,32,23,4,1
2023020017,2023-10-13,NJD,home,36,33,3,4
2023020017,2023-10-13,ARI,away,33,36,4,3
2023020018,2023-10-13,WSH,home,19,35,0,4
2023020018,2023-10-13,PIT,away,35,19,4,0
2023020019,2023-10-14,OTT,home,31,21,5,2
2023020019,2023-10-14,PHI,away,21,31,2,5
2023020020,2023-10-14,WPG,home,35,33,6,4
2023020020,2023-10-14,FLA,away,33,35,4,6
2023020021,2023-10-14,BOS,home,30,36,3,2
2023020021,2023-10-14,NSH,away,36,30,2,3
2023020022,2023-10-14,CBJ,home,21,42,5,3
2023020022,2023-10-14,NYR,away,42,21,3,5
2023020023,2023-10-14,DET,home,42,25,6,4
2023020023,2023-10-14,TBL,away,25,42,4,6
2023020024,2023-10-14,MTL,home,36,30,3,2
2023020024,2023-10-14,CHI,away,30,36,2,3
2023020025,2023-10-14,PIT,home,29,36,5,2
2023020025,2023-10-14,CGY,away,36,29,2,5
2023020026,2023-10-14,TOR,home,33,32,7,4
2023020026,2023-10-14,MIN,away,32,33,4,7
2023020027,2023-10-14,NYI,home,29,28,3,2
2023020027,2023-10-14,BUF,away,28,29,2,3
2023020028,2023-10-14,STL,home,25,31,2,1
