team_abbrev,logo_url,primary_color,secondary_color
ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,#CF4520,#89734C
BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026,#010101,#FFB81C
BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,#003087,#FFB81C
CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,#C8102E,#010101
CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,#041E42,#C8102E
CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,#C8102E,#F1BE48
CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026,#CE1126,#010101
COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,#8A2432,#236093
DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,#00823E,#000000
DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,#C8102E,#FFFFFF
EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,#00205B,#D14520
FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,#C8102E,#041E42
LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,#010101,#A2AAAD
MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,#0E4431,#AC1A2E
MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,#A6192E,#001E62
NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,#CC0000,#000000
NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,#FFB81C,#041E42
NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,#00468B,#F26924
NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,#154B94,#C32032
OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,#010101,#C8102E
PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,#D24303,#000000
PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,#000000,#FFB81C
SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,#001425,#96D8D8
SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,#00778B,#010101
STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026,#006AC6,#FFB81C
TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,#00205B,#FFFFFF
TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,#00205B,#FFFFFF
UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,#010101,#7AB2E0
VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,#00205B,#046A38
VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,#B9975B,#333F48
WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,#041E42,#004A98
WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,#C8102E,#041E42
